lang,word_original,word_translation,blank_prompt_original,blank_prompt_translation
de,book,Buch,"A ""book"" is used to read stories. Answer: ""book"".","Ein ""Buch"" wird verwendet, um Geschichten zu lesen. Antwort: ""Buch""."
de,cloud,Wolke,"A ""cloud"" is a visible mass of condensed water vapor floating in the atmosphere. Answer: ""cloud"".","Eine ""Wolke"" ist eine sichtbare Masse aus kondensiertem Wasserdampf, die in der Atmosphäre schwebt. Antwort: ""Wolke""."
de,bag,Tasche,"A ""bag"" is used to carry items. Answer: ""bag"".","Eine ""Tasche"" wird zum Tragen von Gegenständen verwendet. Antwort: ""Tasche""."
de,mouth,Mund,"A ""mouth"" is used to eat food and speak. Answer: ""mouth"".","Ein ""Mund"" wird zum Essen und Sprechen benutzt. Antwort: ""Mund""."
de,soil,Boden,"""A ""soil"" is used for planting trees and crops. Answer: ""soil"".""","""Ein ""Boden"" wird für die Anpflanzung von Bäumen und Nutzpflanzen verwendet. Antwort: ""Boden""."""
de,mountain,Berg,"A ""mountain"" is a large natural elevation of the earth's surface. Answer: ""mountain"".","Ein ""Berg"" ist eine große natürliche Erhebung auf der Erdoberfläche. Antwort: ""Berg""."
de,cloth,Tuch,"A ""cloth"" is used to clean surfaces or cover bodies. Answer: ""cloth"".","Ein ""Tuch"" wird verwendet, um Oberflächen zu reinigen oder Körper zu bedecken. Antwort: ""Tuch""."
de,heart,Herz,"A ""heart"" is an organ that pumps blood throughout the body. Answer: ""heart"".","Ein ""Herz"" ist ein Organ, das Blut durch den Körper pumpt. Antwort: ""Herz""."
de,hand,Hand,"A ""hand"" is used to grasp or hold objects. Answer: ""hand"".","Eine ""Hand"" wird zum Greifen oder Halten von Gegenständen verwendet. Antwort: ""Hand""."
de,day,Tag,"A ""day"" is a period of 24 hours, often understood as the time it takes for the Earth to complete one rotation. Answer: ""day"".","Ein ""Tag"" ist ein Zeitraum von 24 Stunden, der oft als die Zeit verstanden wird, die die Erde für eine Umdrehung benötigt. Antwort: ""Tag""."
de,star,Stern,"A ""star"" is a celestial body that shines in the night sky. Answer: ""star"".","Ein ""Stern"" ist ein Himmelskörper, der am Nachthimmel leuchtet. Antwort: ""Stern""."
de,spring,Feder,"A ""spring"" is a device that stores mechanical energy and can be compressed or stretched. Answer: ""spring"".","Eine ""Feder"" ist ein Gerät, das mechanische Energie speichert und gestaucht oder gedehnt werden kann. Antwort: ""Feder""."
de,moon,Mond,"A ""moon"" is a natural satellite that orbits around a planet. Answer: ""moon"".","Ein ""Mond"" ist ein natürlicher Satellit, der einen Planeten umkreist. Antwort: ""Mond""."
de,wood,Holz,"A ""wood"" is used to make furniture. Answer: ""wood"".","Ein ""Holz"" wird für die Herstellung von Möbeln verwendet. Antwort: ""Holz""."
de,village,Dorf,"A ""village"" is a small community or group of houses in a rural area. Answer: ""village"".","Ein ""Dorf"" ist eine kleine Gemeinschaft oder Gruppe von Häusern in einem ländlichen Gebiet. Antwort: ""Dorf""."
de,forest,Wald,"A ""forest"" is a large area covered chiefly with trees and undergrowth. Answer: ""forest"".","Ein ""Wald"" ist ein großes Gebiet, das hauptsächlich mit Bäumen und Unterholz bedeckt ist. Antwort: ""Wald""."
de,fruit,Obst,"'A ""fruit"" is a type of food that is often sweet and comes from a plant. Answer: ""fruit"".'","Eine ""Frucht"" ist eine Art von Lebensmittel, das oft süß ist und von einer Pflanze stammt. Antwort: 'Frucht'.'"
de,grid,Gitter,"A ""grid"" is a network of lines that cross each other to form a series of squares or rectangles. Answer: ""grid"".","Ein ""Gitter"" ist ein Netz von Linien, die sich kreuzen und eine Reihe von Quadraten oder Rechtecken bilden. Antwort: ""Gitter""."
de,song,Lied,"A ""song"" is a piece of music with words that is sung. Answer: ""song"".","Ein ""Lied"" ist ein Musikstück mit Text, das gesungen wird. Antwort: ""Lied""."
de,water,Wasser,"""A ""water"" is essential for life and is used for drinking and cleaning. Answer: ""water"".""","""A ""Wasser"" ist lebensnotwendig und wird zum Trinken und Reinigen verwendet. Antwort: ""Wasser""."""
de,pond,Teich,"A ""pond"" is a small body of still water. Answer: ""pond"".","Ein ""Teich"" ist ein kleines Gewässer mit ruhigem Wasser. Antwort: ""Teich""."
de,sand,Sand,"""A ""sand"" is used to build castles at the beach. Answer: ""sand"".""","""Ein ""Sand"" wird zum Bauen von Burgen am Strand verwendet. Antwort: ""Sand""."""
de,river,Fluss,"A ""river"" is a large, flowing body of water that usually empties into a sea or ocean. Answer: ""river"".","Ein ""Fluss"" ist ein großer, fließender Wasserkörper, der normalerweise in ein Meer oder einen Ozean mündet. Antwort: ""Fluss""."
de,law,Gesetz,"'A ""law"" is a system of rules that a society or government develops in order to deal with crime, business agreements, and social relationships. Answer: ""law"".'","Ein ""Gesetz"" ist ein System von Regeln, das eine Gesellschaft oder eine Regierung entwickelt, um mit Verbrechen, Geschäftsvereinbarungen und sozialen Beziehungen umzugehen. Antwort: ""Gesetz"".'"
de,wave,Welle,"A ""wave"" is a disturbance that transfers energy through matter or space. Answer: ""wave"".","Eine ""Welle"" ist eine Störung, die Energie durch Materie oder Raum überträgt. Antwort: ""Welle""."
