lang,word_original,word_translation,blank_prompt_original,blank_prompt_translation,blank_prompt_translation_masked,error
ru,book,книга,"A ""book"" is used to read stories. Answer: ""book"".","""Книга"" используется для чтения историй. Ответ: ""книга"".","""___"" используется для чтения историй. Ответ: ""книга"".",no error
ru,cloud,облако,"A ""cloud"" is a visible mass of condensed water vapor floating in the atmosphere. Answer: ""cloud"".","Облако - это видимая масса конденсированного водяного пара, плавающая в атмосфере. Ответ: ""облако"".","""___"" - это видимая масса конденсированного водяного пара, плавающая в атмосфере. Ответ: ""облако"".",no error
ru,bag,сумка,"A ""bag"" is used to carry items. Answer: ""bag"".","Сумка используется для переноски предметов. Ответ: ""сумка"".","""___"" используется для переноски предметов. Ответ: ""сумка"".",no error
ru,mouth,рот,"A ""mouth"" is used to eat food and speak. Answer: ""mouth"".","Рот используется для приема пищи и речи. Ответ: ""рот"".","""___"" используется для приема пищи и речи. Ответ: ""рот"".",no error
ru,soil,почва,"""A ""soil"" is used for planting trees and crops. Answer: ""soil"".""","""Почва"" используется для посадки деревьев и выращивания сельскохозяйственных культур. Ответ: ""почва"".""","""___"" используется для посадки деревьев и выращивания сельскохозяйственных культур. Ответ: ""почва"".",no error
ru,mountain,гора,"A ""mountain"" is a large natural elevation of the earth's surface. Answer: ""mountain"".","Гора - это крупное естественное возвышение земной поверхности. Ответ: ""гора"".","""___"" - это крупное естественное возвышение земной поверхности. Ответ: ""гора"".",no error
ru,heart,сердце,"A ""heart"" is an organ that pumps blood throughout the body. Answer: ""heart"".","Сердце - это орган, который перекачивает кровь по всему телу. Ответ: ""сердце"".","""___"" - это орган, который перекачивает кровь по всему телу. Ответ: ""сердце"".",no error
ru,hand,рука,"A ""hand"" is used to grasp or hold objects. Answer: ""hand"".","Рука используется для захвата или удержания предметов. Ответ: ""рука"".","""___"" используется для захвата или удержания предметов. Ответ: ""рука"".",no error
ru,star,звезда,"A ""star"" is a celestial body that shines in the night sky. Answer: ""star"".","Звезда - это небесное тело, которое светит на ночном небе. Ответ: ""звезда"".","""___"" - это небесное тело, которое светит на ночном небе. Ответ: ""звезда"".",no error
ru,spring,пружина,"A ""spring"" is a device that stores mechanical energy and can be compressed or stretched. Answer: ""spring"".","Пружина - это устройство, которое накапливает механическую энергию и может сжиматься или растягиваться. Ответ: ""пружина"".","""___"" - это устройство, которое накапливает механическую энергию и может сжиматься или растягиваться. Ответ: ""пружина"".",no error
ru,moon,луна,"A ""moon"" is a natural satellite that orbits around a planet. Answer: ""moon"".","Луна - это естественный спутник, вращающийся вокруг планеты. Ответ: ""Луна"".","""___"" - это естественный спутник, вращающийся вокруг планеты. Ответ: ""Луна"".",no error
ru,village,деревня,"A ""village"" is a small community or group of houses in a rural area. Answer: ""village"".","Деревня - это небольшая община или группа домов в сельской местности. Ответ: ""деревня"".","""___"" - это небольшая община или группа домов в сельской местности. Ответ: ""деревня"".",no error
ru,forest,лес,"A ""forest"" is a large area covered chiefly with trees and undergrowth. Answer: ""forest"".","Лес - это большая территория, покрытая преимущественно деревьями и подлеском. Ответ: ""лес"".","""___"" - это большая территория, покрытая преимущественно деревьями и подлеском. Ответ: ""лес"".",no error
ru,fruit,фрукт,"'A ""fruit"" is a type of food that is often sweet and comes from a plant. Answer: ""fruit"".'","""Фрукт"" - это вид пищи, который часто бывает сладким и происходит от растения. Ответ: ""фрукт"".","""___"" - это вид пищи, который часто бывает сладким и происходит от растения. Ответ: ""фрукт"".",no error
ru,grid,сетка,"A ""grid"" is a network of lines that cross each other to form a series of squares or rectangles. Answer: ""grid"".","Сетка - это сеть линий, которые пересекаются друг с другом, образуя ряд квадратов или прямоугольников. Ответ: ""сетка"".","""___"" - это сеть линий, которые пересекаются друг с другом, образуя ряд квадратов или прямоугольников. Ответ: ""сетка"".",no error
ru,song,песня,"A ""song"" is a piece of music with words that is sung. Answer: ""song"".","Песня - это музыкальное произведение со словами, которое поется. Ответ: ""песня"".","""___"" - это музыкальное произведение со словами, которое поется. Ответ: ""песня"".",no error
ru,water,вода,"""A ""water"" is essential for life and is used for drinking and cleaning. Answer: ""water"".""","""Вода"" необходима для жизни и используется для питья и уборки. Ответ: ""вода"".""","""___"" необходима для жизни и используется для питья и уборки. Ответ: ""вода"".",no error
ru,pond,пруд,"A ""pond"" is a small body of still water. Answer: ""pond"".","Пруд - это небольшой водоем с неподвижной водой. Ответ: ""пруд"".","""___"" - это небольшой водоем с неподвижной водой. Ответ: ""пруд"".",no error
ru,sand,песок,"""A ""sand"" is used to build castles at the beach. Answer: ""sand"".""","""Песок"" используется для строительства замков на пляже. Ответ: ""песок"".""","""___"" используется для строительства замков на пляже. Ответ: ""песок"".",no error
ru,river,река,"A ""river"" is a large, flowing body of water that usually empties into a sea or ocean. Answer: ""river"".","Река - это большой проточный водоем, который обычно впадает в море или океан. Ответ: ""река"".","""___"" - это большой проточный водоем, который обычно впадает в море или океан. Ответ: ""река"".",no error
ru,law,закон,"'A ""law"" is a system of rules that a society or government develops in order to deal with crime, business agreements, and social relationships. Answer: ""law"".'","""Закон"" - это система правил, которую разрабатывает общество или правительство, чтобы справиться с преступностью, деловыми соглашениями и социальными отношениями. Ответ: ""закон"".","""___"" - это система правил, которую разрабатывает общество или правительство, чтобы справиться с преступностью, деловыми соглашениями и социальными отношениями. Ответ: ""закон"".",no error
ru,wave,волна,"A ""wave"" is a disturbance that transfers energy through matter or space. Answer: ""wave"".","Волна - это возмущение, которое переносит энергию через материю или пространство. Ответ: ""волна"".","""___"" - это возмущение, которое переносит энергию через материю или пространство. Ответ: ""волна"".",no error
ru,ocean,океан,"An ""ocean"" is a large body of salt water that covers most of the earth's surface. Answer: ""ocean"".","Океан - это большой водоем с соленой водой, который покрывает большую часть поверхности Земли. Ответ: ""океан"".","""___"" - это большой водоем с соленой водой, который покрывает большую часть поверхности Земли. Ответ: ""океан"".",no error
ru,cave,пещера,"A ""cave"" is a natural underground space large enough for a human to enter. Answer: ""cave"".","Пещера - это естественное подземное пространство, достаточно большое для того, чтобы в него мог войти человек. Ответ: ""пещера"".","""___"" - это естественное подземное пространство, достаточно большое для того, чтобы в него мог войти человек. Ответ: ""пещера"".",no error
ru,sea,море,"A ""sea"" is a large body of saltwater that is smaller than an ocean. Answer: ""sea"".","Море - это большой водоем с соленой водой, который меньше океана. Ответ: ""море"".","""___"" - это большой водоем с соленой водой, который меньше океана. Ответ: ""море"".",no error
ru,lake,озеро,"A ""lake"" is a large body of water surrounded by land. Answer: ""lake"".","Озеро - это большой водоем, окруженный сушей. Ответ: ""озеро"".","""___"" - это большой водоем, окруженный сушей. Ответ: ""озеро"".",no error
ru,source,источник,"A ""source"" is used to provide information or data. Answer: ""source"".","Источник"" используется для предоставления информации или данных. Ответ: ""источник"".","""___"" используется для предоставления информации или данных. Ответ: ""источник"".",no error
ru,fire,костер,"A ""fire"" is used for cooking and providing warmth. Answer: ""fire"".","Костер используется для приготовления пищи и обеспечения тепла. Ответ: ""костер"".","""___"" используется для приготовления пищи и обеспечения тепла. Ответ: ""костер"".",no error
ru,point,точка,"A ""point"" is a specific location in space. Answer: ""point"".","Точка - это определенное место в пространстве. Ответ: ""точка"".","""___"" - это определенное место в пространстве. Ответ: ""точка"".",no error
ru,version,версия,"A ""version"" is used to denote different forms or stages in the development of something. Answer: ""version"".","Версия"" используется для обозначения различных форм или этапов в развитии чего-либо. Ответ: ""версия"".","""___"" используется для обозначения различных форм или этапов в развитии чего-либо. Ответ: ""версия"".",no error
ru,ball,мяч,"A ""ball"" is used to play sports like soccer and basketball. Answer: ""ball"".","Мяч используется для игры в такие виды спорта, как футбол и баскетбол. Ответ: ""мяч"".","""___"" используется для игры в такие виды спорта, как футбол и баскетбол. Ответ: ""мяч"".",no error
ru,painting,картина,"A ""painting"" is a piece of art that can be hung on a wall. Answer: ""painting"".","Картина - это произведение искусства, которое можно повесить на стену. Ответ: ""картина"".","""___"" - это произведение искусства, которое можно повесить на стену. Ответ: ""картина"".",no error
ru,rice,рис,"A ""rice"" is a grain that is commonly used in cooking and is a staple food in many countries. Answer: ""rice"".","Рис - это зерно, которое широко используется в кулинарии и является основным продуктом питания во многих странах. Ответ: ""рис"".","""___"" - это зерно, которое широко используется в кулинарии и является основным продуктом питания во многих странах. Ответ: ""рис"".",no error
ru,red,красный,"'A ""red"" is a color often associated with love and passion. Answer: ""red"".'","""Красный"" - цвет, часто ассоциирующийся с любовью и страстью. Ответ: ""красный"".","""___"" - цвет, часто ассоциирующийся с любовью и страстью. Ответ: ""красный"".",no error
ru,line,линия,"A ""line"" is a narrow continuous mark, as that made by a pen, pencil, or brush. Answer: ""line"".","Линия - это узкий непрерывный след, сделанный пером, карандашом или кистью. Ответ: ""линия"".","""___"" - это узкий непрерывный след, сделанный пером, карандашом или кистью. Ответ: ""линия"".",no error
ru,net,сетка,"A ""net"" is used in sports like volleyball and tennis to divide the playing area. Answer: ""net"".","Сетка используется в таких видах спорта, как волейбол и теннис, для разделения игровой площадки. Ответ: ""сетка"".","""___"" используется в таких видах спорта, как волейбол и теннис, для разделения игровой площадки. Ответ: ""сетка"".",no error
ru,flower,цветок,"A ""flower"" is often given as a gift and can be found in gardens. Answer: ""flower"".","Этот ""цветок"" часто дарят в подарок, его можно встретить в садах. Ответ: ""цветок"".","Этот ""___"" часто дарят в подарок, его можно встретить в садах. Ответ: ""цветок"".",no error
ru,tea,чай,"A ""tea"" is a beverage often consumed for relaxation or warmth. Answer: ""tea"".","Чай - это напиток, который часто употребляют для расслабления или согревания. Ответ: ""чай"".","""___"" - это напиток, который часто употребляют для расслабления или согревания. Ответ: ""чай"".",no error
ru,foot,нога,"A ""foot"" is used for walking and running. Answer: ""foot"".","Для ходьбы и бега используется ""нога"". Ответ: ""нога"".","Для ходьбы и бега используется ""___"". Ответ: ""нога"".",no error
ru,gold,золото,"""A ""gold"" is a precious metal that is often used in jewelry. Answer: ""gold"".""","""Золото"" - это драгоценный металл, который часто используется в ювелирных изделиях. Ответ: ""золото"".""","""___"" - это драгоценный металл, который часто используется в ювелирных изделиях. Ответ: ""золото"".",no error
ru,door,дверь,"A ""door"" is used for entering or exiting a room. Answer: ""door"".","Дверь используется для входа или выхода из помещения. Ответ: ""дверь"".","""___"" используется для входа или выхода из помещения. Ответ: ""дверь"".",no error
ru,snow,снег,"""A ""snow"" is a form of precipitation that falls from the sky during winter. Answer: ""snow"".""","""Снег"" - это вид осадков, выпадающих с неба зимой. Ответ: ""снег"".""","""___"" - это вид осадков, выпадающих с неба зимой. Ответ: ""снег"".",no error
ru,horse,лошадь,"A ""horse"" is a large domesticated animal with four legs, commonly used for riding and racing. Answer: ""horse"".","Лошадь - крупное одомашненное животное с четырьмя ногами, обычно используемое для верховой езды и скачек. Ответ: ""лошадь"".","""___"" - крупное одомашненное животное с четырьмя ногами, обычно используемое для верховой езды и скачек. Ответ: ""лошадь"".",no error
ru,two,два,"The number ""two"" is the sum of one plus one. Answer: ""two"".","Число ""два"" - это сумма одного плюс одного. Ответ: ""два"".","Число ""___"" - это сумма одного плюс одного. Ответ: ""два"".",no error
ru,three,три,"The number that comes after two is ""three"". Answer: ""three"".","Число, следующее за двумя, - ""три"". Ответ: ""три"".","Число, следующее за двумя, - ""___"". Ответ: ""три"".",no error
ru,four,четыре,"The number ""four"" is the integer that comes after three. Answer: ""four"".","Число ""четыре"" - это целое число, следующее за тремя. Ответ: ""четыре"".","Число ""___"" - это целое число, следующее за тремя. Ответ: ""четыре"".",no error
ru,five,пять,"The number that comes after four is ""five"". Answer: ""five"".","Число, следующее за четырьмя, - ""пять"". Ответ: ""пять"".","Число, следующее за четырьмя, - ""___"". Ответ: ""пять"".",no error
ru,six,шесть,"The number that comes after five is ""six"". Answer: ""six"".","Число, следующее за пятью, - ""шесть"". Ответ: ""шесть"".","Число, следующее за пятью, - ""___"". Ответ: ""шесть"".",no error
ru,seven,семь,"The number ""seven"" comes after six. Answer: ""seven"".","Число ""семь"" идет после шести. Ответ: ""семь"".","Число ""___"" идет после шести. Ответ: ""семь"".",no error
ru,eight,восемь,"The number ""eight"" comes after seven. Answer: ""eight"".","Число ""восемь"" идет после семи. Ответ: ""восемь"".","Число ""___"" идет после семи. Ответ: ""восемь"".",no error
ru,nine,девять,"The number that comes after eight is ""nine"". Answer: ""nine"".","Число, следующее за восьмёркой, - ""девять"". Ответ: ""девять"".","Число, следующее за восьмёркой, - ""___"". Ответ: ""девять"".",no error
ru,ten,десять,"The number that comes after nine is ""ten"". Answer: ""ten"".","Число, следующее за девятью, - ""десять"". Ответ: ""десять"".","Число, следующее за девятью, - ""___"". Ответ: ""десять"".",no error
ru,head,голова,"'A ""head"" is a part of the body that contains the brain, eyes, ears, nose, and mouth. Answer: ""head"".'","""Голова"" - это часть тела, содержащая мозг, глаза, уши, нос и рот. Ответ: ""голова"".","""___"" - это часть тела, содержащая мозг, глаза, уши, нос и рот. Ответ: ""голова"".",no error
ru,shop,магазин,"A ""shop"" is a place where you can buy goods or services. Answer: ""shop"".","Магазин - это место, где можно купить товары или услуги. Ответ: ""магазин"".","""___"" - это место, где можно купить товары или услуги. Ответ: ""магазин"".",no error
ru,strip,полоса,"A ""strip"" is a long, narrow piece of a certain material. Answer: ""strip"".","Полоса - это длинный, узкий кусок определенного материала. Ответ: ""полоса"".","""___"" - это длинный, узкий кусок определенного материала. Ответ: ""полоса"".",no error
ru,street,улица,"A ""street"" is a public road in a city, town, or village. Answer: ""street"".","Улица - это дорога общего пользования в городе, поселке или деревне. Ответ: ""улица"".","""___"" - это дорога общего пользования в городе, поселке или деревне. Ответ: ""улица"".",no error
ru,part,часть,"A ""part"" is used to make up a whole. Answer: ""part"".","Часть используется для составления целого. Ответ: ""часть"".","""___"" используется для составления целого. Ответ: ""часть"".",no error
ru,field,поле,"A ""field"" is a wide area of open land where crops are grown. Answer: ""field"".","Поле - это обширный участок открытой земли, на котором выращивают сельскохозяйственные культуры. Ответ: ""поле"".","""___"" - это обширный участок открытой земли, на котором выращивают сельскохозяйственные культуры. Ответ: ""поле"".",no error
ru,dance,танец,"A ""dance"" is a form of art that involves movement of the body, usually rhythmic and to music. Answer: ""dance"".","Танец - это вид искусства, включающий движения тела, обычно ритмичные и под музыку. Ответ: ""танец"".","""___"" - это вид искусства, включающий движения тела, обычно ритмичные и под музыку. Ответ: ""танец"".",no error
ru,word,слово,"A ""word"" is a single distinct meaningful element of speech or writing, used with others (or sometimes alone) to form a sentence and typically shown with a space on either side when written or printed. Answer: ""word"".","Слово - это отдельный значимый элемент речи или письма, используемый вместе с другими (а иногда и самостоятельно) для формирования предложения и обычно указываемый в письменном или печатном виде с пробелом по обе стороны. Ответ: ""слово"".","""___"" - это отдельный значимый элемент речи или письма, используемый вместе с другими (а иногда и самостоятельно) для формирования предложения и обычно указываемый в письменном или печатном виде с пробелом по обе стороны. Ответ: ""слово"".",no error
ru,pair,пара,"""A ""pair"" is a set of two things used together or regarded as a unit. Answer: ""pair"".""","""Пара"" - это набор из двух предметов, используемых вместе или рассматриваемых как единое целое. Ответ: ""пара"".""","""___"" - это набор из двух предметов, используемых вместе или рассматриваемых как единое целое. Ответ: ""пара"".",no error
ru,seat,сиденье,"A ""seat"" is used to sit and rest. Answer: ""seat"".","Сиденье"" используется для сидения и отдыха. Ответ: ""сиденье"".","""___"" используется для сидения и отдыха. Ответ: ""сиденье"".",no error
ru,thousand,тысяча,"A ""thousand"" is a numerical value that comes after nine hundred ninety-nine. Answer: ""thousand"".","Тысяча - это числовое значение, следующее за девятьсот девяносто девятью. Ответ: ""тысяча"".","""___"" - это числовое значение, следующее за девятьсот девяносто девятью. Ответ: ""тысяча"".",no error
ru,north,север,"""The ""north"" is a cardinal direction often associated with cold and polar regions. Answer: ""north"".""","""Север"" - это кардинальное направление, часто ассоциирующееся с холодными и полярными регионами. Ответ: ""север"".""","""___"" - это кардинальное направление, часто ассоциирующееся с холодными и полярными регионами. Ответ: ""север"".",no error
ru,machine,машина,"A ""machine"" is used to perform a specific task or produce something. Answer: ""machine"".","Машина используется для выполнения определенной задачи или производства чего-либо. Ответ: ""машина"".","""___"" используется для выполнения определенной задачи или производства чего-либо. Ответ: ""машина"".",no error
ru,position,позиция,"A ""position"" is a place where someone or something is located or has been put. Answer: ""position"".","Позиция - это место, где кто-то или что-то находится или находится. Ответ: ""позиция"".","""___"" - это место, где кто-то или что-то находится или находится. Ответ: ""позиция"".",no error
ru,province,провинция,"A ""province"" is a principal administrative division of certain countries or empires. Answer: ""province"".","Провинция - это основное административное деление некоторых стран или империй. Ответ: ""провинция"".","""___"" - это основное административное деление некоторых стран или империй. Ответ: ""провинция"".",no error
ru,exchange,биржа,"An ""exchange"" is a place where stocks, bonds, or other securities are bought and sold. Answer: ""exchange"".","Биржа - это место, где покупают и продают акции, облигации или другие ценные бумаги. Ответ: ""биржа"".","""___"" - это место, где покупают и продают акции, облигации или другие ценные бумаги. Ответ: ""биржа"".",no error
ru,middle,середина,"""The ""middle"" is the point that is equally distant from the sides or outer boundaries of something. Answer: ""middle"".""","""Середина"" - это точка, которая одинаково удалена от сторон или внешних границ чего-либо. Ответ: ""середина"".""","""___"" - это точка, которая одинаково удалена от сторон или внешних границ чего-либо. Ответ: ""середина"".",no error
ru,friend,друг,"A ""friend"" is someone you share a close personal relationship with. Answer: ""friend"".","Друг - это человек, с которым вас связывают близкие личные отношения. Ответ: ""друг"".","""___"" - это человек, с которым вас связывают близкие личные отношения. Ответ: ""друг"".",no error
ru,color,цвет,"""A ""color"" is used to identify or describe the appearance of objects. Answer: ""color"".""","""Цвет"" используется для идентификации или описания внешнего вида объектов. Ответ: ""цвет"".""","""___"" используется для идентификации или описания внешнего вида объектов. Ответ: ""цвет"".",no error
ru,kind,вид,"""A ""kind"" is a category or type of something. Answer: ""kind"".""","""Вид"" - это категория или тип чего-либо. Ответ: ""вид"".""","""___"" - это категория или тип чего-либо. Ответ: ""вид"".",no error
ru,judge,судья,"A ""judge"" is a person who presides over court proceedings, either alone or as a part of a panel of judges. Answer: ""judge"".","Судья - это лицо, председательствующее в судебном процессе, единолично или в составе коллегии судей. Ответ: ""судья"".","""___"" - это лицо, председательствующее в судебном процессе, единолично или в составе коллегии судей. Ответ: ""судья"".",no error
ru,school,школа,"A ""school"" is a place where students go to learn. Answer: ""school"".","Школа - это место, куда ученики ходят учиться. Ответ: ""школа"".","""___"" - это место, куда ученики ходят учиться. Ответ: ""школа"".",no error
