lang,word_original,word_translation,blank_prompt_original,blank_prompt_translation
ru,book,книга,"A ""book"" is used to read stories. Answer: ""book"".","""Книга"" используется для чтения историй. Ответ: ""книга""."
ru,cloud,облако,"A ""cloud"" is a visible mass of condensed water vapor floating in the atmosphere. Answer: ""cloud"".","Облако - это видимая масса конденсированного водяного пара, плавающая в атмосфере. Ответ: ""облако""."
ru,bag,сумка,"A ""bag"" is used to carry items. Answer: ""bag"".","Сумка используется для переноски предметов. Ответ: ""сумка""."
ru,mouth,рот,"A ""mouth"" is used to eat food and speak. Answer: ""mouth"".","Рот используется для приема пищи и речи. Ответ: ""рот""."
ru,soil,почва,"""A ""soil"" is used for planting trees and crops. Answer: ""soil"".""","""Почва"" используется для посадки деревьев и выращивания сельскохозяйственных культур. Ответ: ""почва""."""
ru,mountain,гора,"A ""mountain"" is a large natural elevation of the earth's surface. Answer: ""mountain"".","Гора - это крупное естественное возвышение земной поверхности. Ответ: ""гора""."
ru,cloth,ткань,"A ""cloth"" is used to clean surfaces or cover bodies. Answer: ""cloth"".","Тряпка используется для очистки поверхностей или покрытия тел. Ответ: ""ткань""."
ru,heart,сердце,"A ""heart"" is an organ that pumps blood throughout the body. Answer: ""heart"".","Сердце - это орган, который перекачивает кровь по всему телу. Ответ: ""сердце""."
ru,hand,рука,"A ""hand"" is used to grasp or hold objects. Answer: ""hand"".","Рука используется для захвата или удержания предметов. Ответ: ""рука""."
ru,day,день,"A ""day"" is a period of 24 hours, often understood as the time it takes for the Earth to complete one rotation. Answer: ""day"".","Сутки - это период в 24 часа, часто понимаемый как время, необходимое Земле для совершения одного оборота. Ответ: ""сутки""."
ru,star,звезда,"A ""star"" is a celestial body that shines in the night sky. Answer: ""star"".","Звезда - это небесное тело, которое светит на ночном небе. Ответ: ""звезда""."
ru,spring,пружина,"A ""spring"" is a device that stores mechanical energy and can be compressed or stretched. Answer: ""spring"".","Пружина - это устройство, которое накапливает механическую энергию и может сжиматься или растягиваться. Ответ: ""пружина""."
ru,moon,луна,"A ""moon"" is a natural satellite that orbits around a planet. Answer: ""moon"".","Луна - это естественный спутник, вращающийся вокруг планеты. Ответ: ""Луна""."
ru,wood,дерево,"A ""wood"" is used to make furniture. Answer: ""wood"".","Из этого ""дерева"" делают мебель. Ответ: ""дерево""."
ru,village,деревня,"A ""village"" is a small community or group of houses in a rural area. Answer: ""village"".","Деревня - это небольшая община или группа домов в сельской местности. Ответ: ""деревня""."
ru,forest,лес,"A ""forest"" is a large area covered chiefly with trees and undergrowth. Answer: ""forest"".","Лес - это большая территория, покрытая преимущественно деревьями и подлеском. Ответ: ""лес""."
ru,fruit,фрукт,"'A ""fruit"" is a type of food that is often sweet and comes from a plant. Answer: ""fruit"".'","""Фрукт"" - это вид пищи, который часто бывает сладким и происходит от растения. Ответ: ""фрукт""."
ru,grid,сетка,"A ""grid"" is a network of lines that cross each other to form a series of squares or rectangles. Answer: ""grid"".","Сетка - это сеть линий, которые пересекаются друг с другом, образуя ряд квадратов или прямоугольников. Ответ: ""сетка""."
