prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_id,in_token_str
"Русский: ""палатка"" - Русский: ""палатка""
Русский: ""вилка"" - Русский: ""вилка""
Русский: ""яблоко"" - Русский: ""яблоко""
Русский: ""кастрюля"" - Русский: ""кастрюля""
Русский: ""молоко"" - Русский: """,1630,молоко,27274,milk,1630,молоко
"Русский: ""рыба"" - Русский: ""рыба""
Русский: ""рог"" - Русский: ""рог""
Русский: ""журнал"" - Русский: ""журнал""
Русский: ""часы"" - Русский: ""часы""
Русский: ""медведь"" - Русский: """,1488,медведь,11460,bear,1488,медведь
"Русский: ""труба"" - Русский: ""труба""
Русский: ""корабль"" - Русский: ""корабль""
Русский: ""диск"" - Русский: ""диск""
Русский: ""звезда"" - Русский: ""звезда""
Русский: ""палатка"" - Русский: """,1843,палатка,12033,tent,1843,палатка
"Русский: ""мяч"" - Русский: ""мяч""
Русский: ""река"" - Русский: ""река""
Русский: ""дверь"" - Русский: ""дверь""
Русский: ""собака"" - Русский: ""собака""
Русский: ""яблоко"" - Русский: """,29970,яблоко,26163,apple,29970,яблоко
"Русский: ""луна"" - Русский: ""луна""
Русский: ""кукла"" - Русский: ""кукла""
Русский: ""облако"" - Русский: ""облако""
Русский: ""кольцо"" - Русский: ""кольцо""
Русский: ""батарея"" - Русский: """,3102,батарея,16988,battery,3102,батарея
"Русский: ""планета"" - Русский: ""планета""
Русский: ""батарея"" - Русский: ""батарея""
Русский: ""кукла"" - Русский: ""кукла""
Русский: ""гольф"" - Русский: ""гольф""
Русский: ""шляпа"" - Русский: """,30002,шляпа,3056,hat,30002,шляпа
"Русский: ""гитара"" - Русский: ""гитара""
Русский: ""кольцо"" - Русский: ""кольцо""
Русский: ""звезда"" - Русский: ""звезда""
Русский: ""мыло"" - Русский: ""мыло""
Русский: ""книга"" - Русский: """,29951,книга,3143,book,29951,книга
"Русский: ""скрипка"" - Русский: ""скрипка""
Русский: ""хлеб"" - Русский: ""хлеб""
Русский: ""календарь"" - Русский: ""календарь""
Русский: ""мышь"" - Русский: ""мышь""
Русский: ""автомобиль"" - Русский: """,29910,автомобиль,1559,car,29910,автомобиль
"Русский: ""ведро"" - Русский: ""ведро""
Русский: ""река"" - Русский: ""река""
Русский: ""дерево"" - Русский: ""дерево""
Русский: ""кастрюля"" - Русский: ""кастрюля""
Русский: ""мяч"" - Русский: """,5010,мяч,8287,ball,5010,мяч
"Русский: ""стул"" - Русский: ""стул""
Русский: ""птица"" - Русский: ""птица""
Русский: ""река"" - Русский: ""река""
Русский: ""гольф"" - Русский: ""гольф""
Русский: ""труба"" - Русский: """,29932,труба,14282,pipe,29932,труба
"Русский: ""труба"" - Русский: ""труба""
Русский: ""журнал"" - Русский: ""журнал""
Русский: ""газета"" - Русский: ""газета""
Русский: ""дверь"" - Русский: ""дверь""
Русский: ""реактивный"" - Русский: """,587,реактивный,22588,jet,587,реактивный
"Русский: ""песок"" - Русский: ""песок""
Русский: ""реактивный"" - Русский: ""реактивный""
Русский: ""газета"" - Русский: ""газета""
Русский: ""баскетбольный мяч"" - Русский: ""баскетбольный мяч""
Русский: ""гольф"" - Русский: """,588,гольф,29416,golf,588,гольф
"Русский: ""зеркало"" - Русский: ""зеркало""
Русский: ""дверь"" - Русский: ""дверь""
Русский: ""паутина"" - Русский: ""паутина""
Русский: ""труба"" - Русский: ""труба""
Русский: ""календарь"" - Русский: """,642,календарь,17684,calendar,642,календарь
"Русский: ""трава"" - Русский: ""трава""
Русский: ""стебель"" - Русский: ""стебель""
Русский: ""баскетбольный мяч"" - Русский: ""баскетбольный мяч""
Русский: ""фотоаппарат"" - Русский: ""фотоаппарат""
Русский: ""карта"" - Русский: """,15266,карта,2910,map,15266,карта
"Русский: ""молоко"" - Русский: ""молоко""
Русский: ""тарелка"" - Русский: ""тарелка""
Русский: ""собака"" - Русский: ""собака""
Русский: ""ключ"" - Русский: ""ключ""
Русский: ""бита"" - Русский: """,2384,бита,17152,bat,2384,бита
"Русский: ""мышь"" - Русский: ""мышь""
Русский: ""колокол"" - Русский: ""колокол""
Русский: ""ванна"" - Русский: ""ванна""
Русский: ""кольцо"" - Русский: ""кольцо""
Русский: ""дверь"" - Русский: """,29957,дверь,3050,door,29957,дверь
"Русский: ""роза"" - Русский: ""роза""
Русский: ""палатка"" - Русский: ""палатка""
Русский: ""песок"" - Русский: ""песок""
Русский: ""звезда"" - Русский: ""звезда""
Русский: ""лодка"" - Русский: """,843,лодка,13006,boat,843,лодка
"Русский: ""телевизор"" - Русский: ""телевизор""
Русский: ""собака"" - Русский: ""собака""
Русский: ""стул"" - Русский: ""стул""
Русский: ""часы"" - Русский: ""часы""
Русский: ""река"" - Русский: """,587,река,8580,river,587,река
"Русский: ""соль"" - Русский: ""соль""
Русский: ""луна"" - Русский: ""луна""
Русский: ""телевизор"" - Русский: ""телевизор""
Русский: ""книга"" - Русский: ""книга""
Русский: ""хлеб"" - Русский: """,29988,хлеб,18423,bread,29988,хлеб
"Русский: ""лодка"" - Русский: ""лодка""
Русский: ""корабль"" - Русский: ""корабль""
Русский: ""кошка"" - Русский: ""кошка""
Русский: ""река"" - Русский: ""река""
Русский: ""трава"" - Русский: """,6711,трава,17455,grass,6711,трава
"Русский: ""цветок"" - Русский: ""цветок""
Русский: ""телевизор"" - Русский: ""телевизор""
Русский: ""гора"" - Русский: ""гора""
Русский: ""молоко"" - Русский: ""молоко""
Русский: ""автомобиль"" - Русский: """,29910,автомобиль,1559,car,29910,автомобиль
"Русский: ""рог"" - Русский: ""рог""
Русский: ""дверь"" - Русский: ""дверь""
Русский: ""луна"" - Русский: ""луна""
Русский: ""голубь"" - Русский: ""голубь""
Русский: ""стебель"" - Русский: """,4267,стебель,20805,stem,4267,стебель
"Русский: ""паутина"" - Русский: ""паутина""
Русский: ""птица"" - Русский: ""птица""
Русский: ""дверь"" - Русский: ""дверь""
Русский: ""мята"" - Русский: ""мята""
Русский: ""инструмент"" - Русский: """,8197,инструмент,5780,tool,8197,инструмент
"Русский: ""река"" - Русский: ""река""
Русский: ""рыба"" - Русский: ""рыба""
Русский: ""календарь"" - Русский: ""календарь""
Русский: ""соль"" - Русский: ""соль""
Русский: ""палатка"" - Русский: """,1843,палатка,12033,tent,1843,палатка
"Русский: ""мята"" - Русский: ""мята""
Русский: ""молоко"" - Русский: ""молоко""
Русский: ""пуговица"" - Русский: ""пуговица""
Русский: ""звезда"" - Русский: ""звезда""
Русский: ""труба"" - Русский: """,29932,труба,14282,pipe,29932,труба
"Русский: ""телефон"" - Русский: ""телефон""
Русский: ""кукла"" - Русский: ""кукла""
Русский: ""пуговица"" - Русский: ""пуговица""
Русский: ""платье"" - Русский: ""платье""
Русский: ""яблоко"" - Русский: """,29970,яблоко,26163,apple,29970,яблоко
"Русский: ""кастрюля"" - Русский: ""кастрюля""
Русский: ""рог"" - Русский: ""рог""
Русский: ""молоко"" - Русский: ""молоко""
Русский: ""лампа"" - Русский: ""лампа""
Русский: ""реактивный"" - Русский: """,587,реактивный,22588,jet,587,реактивный
"Русский: ""лодка"" - Русский: ""лодка""
Русский: ""ключ"" - Русский: ""ключ""
Русский: ""кольцо"" - Русский: ""кольцо""
Русский: ""бита"" - Русский: ""бита""
Русский: ""кошка"" - Русский: """,551,кошка,6635,cat,551,кошка
"Русский: ""чашка"" - Русский: ""чашка""
Русский: ""яблоко"" - Русский: ""яблоко""
Русский: ""солнце"" - Русский: ""солнце""
Русский: ""гольф"" - Русский: ""гольф""
Русский: ""мыло"" - Русский: """,5588,мыло,29559,soap,5588,мыло
"Русский: ""гора"" - Русский: ""гора""
Русский: ""пуговица"" - Русский: ""пуговица""
Русский: ""птица"" - Русский: ""птица""
Русский: ""корабль"" - Русский: ""корабль""
Русский: ""скрипка"" - Русский: """,6231,скрипка,18243,fiddle,6231,скрипка
"Русский: ""карта"" - Русский: ""карта""
Русский: ""планета"" - Русский: ""планета""
Русский: ""часы"" - Русский: ""часы""
Русский: ""дерево"" - Русский: ""дерево""
Русский: ""мышь"" - Русский: """,5588,мышь,9495,mouse,5588,мышь
"Русский: ""хлеб"" - Русский: ""хлеб""
Русский: ""календарь"" - Русский: ""календарь""
Русский: ""лампа"" - Русский: ""лампа""
Русский: ""дерево"" - Русский: ""дерево""
Русский: ""телефон"" - Русский: """,730,телефон,9008,phone,730,телефон
"Русский: ""лампа"" - Русский: ""лампа""
Русский: ""часы"" - Русский: ""часы""
Русский: ""чашка"" - Русский: ""чашка""
Русский: ""ведро"" - Русский: ""ведро""
Русский: ""звезда"" - Русский: """,29972,звезда,5810,star,29972,звезда
"Русский: ""кастрюля"" - Русский: ""кастрюля""
Русский: ""телевизор"" - Русский: ""телевизор""
Русский: ""маска"" - Русский: ""маска""
Русский: ""пирог"" - Русский: ""пирог""
Русский: ""гора"" - Русский: """,588,гора,14378,mountain,588,гора
"Русский: ""дерево"" - Русский: ""дерево""
Русский: ""коврик"" - Русский: ""коврик""
Русский: ""газета"" - Русский: ""газета""
Русский: ""медведь"" - Русский: ""медведь""
Русский: ""жилет"" - Русский: """,1969,жилет,16779,vest,1969,жилет
"Русский: ""орех"" - Русский: ""орех""
Русский: ""облако"" - Русский: ""облако""
Русский: ""платье"" - Русский: ""платье""
Русский: ""цветок"" - Русский: ""цветок""
Русский: ""плитка"" - Русский: """,19847,плитка,25900,tile,19847,плитка
"Русский: ""планета"" - Русский: ""планета""
Русский: ""цветок"" - Русский: ""цветок""
Русский: ""рог"" - Русский: ""рог""
Русский: ""часы"" - Русский: ""часы""
Русский: ""птица"" - Русский: """,29964,птица,11199,bird,29964,птица
"Русский: ""газета"" - Русский: ""газета""
Русский: ""шляпа"" - Русский: ""шляпа""
Русский: ""гора"" - Русский: ""гора""
Русский: ""лампа"" - Русский: ""лампа""
Русский: ""дверь"" - Русский: """,29957,дверь,3050,door,29957,дверь
"Русский: ""зеркало"" - Русский: ""зеркало""
Русский: ""стебель"" - Русский: ""стебель""
Русский: ""яблоко"" - Русский: ""яблоко""
Русский: ""хлеб"" - Русский: ""хлеб""
Русский: ""рог"" - Русский: """,576,рог,25341,horn,576,рог
"Русский: ""труба"" - Русский: ""труба""
Русский: ""дверь"" - Русский: ""дверь""
Русский: ""стебель"" - Русский: ""стебель""
Русский: ""облако"" - Русский: ""облако""
Русский: ""рыба"" - Русский: """,3541,рыба,9427,fish,3541,рыба
"Русский: ""коробка"" - Русский: ""коробка""
Русский: ""карта"" - Русский: ""карта""
Русский: ""баскетбольный мяч"" - Русский: ""баскетбольный мяч""
Русский: ""вилка"" - Русский: ""вилка""
Русский: ""рыба"" - Русский: """,3541,рыба,9427,fish,3541,рыба
"Русский: ""цветок"" - Русский: ""цветок""
Русский: ""бита"" - Русский: ""бита""
Русский: ""карта"" - Русский: ""карта""
Русский: ""кошка"" - Русский: ""кошка""
Русский: ""гитара"" - Русский: """,1892,гитара,11210,guitar,1892,гитара
"Русский: ""палатка"" - Русский: ""палатка""
Русский: ""планета"" - Русский: ""планета""
Русский: ""яблоко"" - Русский: ""яблоко""
Русский: ""реактивный"" - Русский: ""реактивный""
Русский: ""телевизор"" - Русский: """,730,телевизор,11456,television,730,телевизор
"Русский: ""яйцо"" - Русский: ""яйцо""
Русский: ""хвост"" - Русский: ""хвост""
Русский: ""платье"" - Русский: ""платье""
Русский: ""инструмент"" - Русский: ""инструмент""
Русский: ""рог"" - Русский: """,576,рог,25341,horn,576,рог
"Русский: ""крыло"" - Русский: ""крыло""
Русский: ""дверь"" - Русский: ""дверь""
Русский: ""хвост"" - Русский: ""хвост""
Русский: ""звезда"" - Русский: ""звезда""
Русский: ""дерево"" - Русский: """,1216,дерево,5447,tree,1216,дерево
"Русский: ""кошка"" - Русский: ""кошка""
Русский: ""яйцо"" - Русский: ""яйцо""
Русский: ""коробка"" - Русский: ""коробка""
Русский: ""лодка"" - Русский: ""лодка""
Русский: ""медведь"" - Русский: """,1488,медведь,11460,bear,1488,медведь
"Русский: ""флаг"" - Русский: ""флаг""
Русский: ""лист"" - Русский: ""лист""
Русский: ""апельсин"" - Русский: ""апельсин""
Русский: ""трава"" - Русский: ""трава""
Русский: ""пирог"" - Русский: """,1668,пирог,5036,pie,1668,пирог
"Русский: ""телефон"" - Русский: ""телефон""
Русский: ""кольцо"" - Русский: ""кольцо""
Русский: ""коврик"" - Русский: ""коврик""
Русский: ""картина"" - Русский: ""картина""
Русский: ""колокол"" - Русский: """,12202,колокол,22623,bell,12202,колокол
"Русский: ""телевизор"" - Русский: ""телевизор""
Русский: ""вилка"" - Русский: ""вилка""
Русский: ""тарелка"" - Русский: ""тарелка""
Русский: ""газета"" - Русский: ""газета""
Русский: ""карта"" - Русский: """,15266,карта,2910,map,15266,карта
"Русский: ""флаг"" - Русский: ""флаг""
Русский: ""платье"" - Русский: ""платье""
Русский: ""зеркало"" - Русский: ""зеркало""
Русский: ""дверь"" - Русский: ""дверь""
Русский: ""река"" - Русский: """,587,река,8580,river,587,река
"Русский: ""телефон"" - Русский: ""телефон""
Русский: ""коробка"" - Русский: ""коробка""
Русский: ""апельсин"" - Русский: ""апельсин""
Русский: ""газета"" - Русский: ""газета""
Русский: ""яйцо"" - Русский: """,29970,яйцо,19710,egg,29970,яйцо
"Русский: ""хвост"" - Русский: ""хвост""
Русский: ""собака"" - Русский: ""собака""
Русский: ""реактивный"" - Русский: ""реактивный""
Русский: ""молоко"" - Русский: ""молоко""
Русский: ""рыба"" - Русский: """,3541,рыба,9427,fish,3541,рыба
"Русский: ""песок"" - Русский: ""песок""
Русский: ""телефон"" - Русский: ""телефон""
Русский: ""лодка"" - Русский: ""лодка""
Русский: ""облако"" - Русский: ""облако""
Русский: ""ноутбук"" - Русский: """,570,ноутбук,19022,laptop,570,ноутбук
"Русский: ""флаг"" - Русский: ""флаг""
Русский: ""гитара"" - Русский: ""гитара""
Русский: ""молоко"" - Русский: ""молоко""
Русский: ""пуговица"" - Русский: ""пуговица""
Русский: ""цветок"" - Русский: """,29996,цветок,28149,flower,29996,цветок
"Русский: ""мыло"" - Русский: ""мыло""
Русский: ""журнал"" - Русский: ""журнал""
Русский: ""палатка"" - Русский: ""палатка""
Русский: ""жилет"" - Русский: ""жилет""
Русский: ""батарея"" - Русский: """,3102,батарея,16988,battery,3102,батарея
