prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_id,in_token_str
"Français: ""arbre"" - Français: ""arbre""
Français: ""oiseau"" - Français: ""oiseau""
Français: ""drapeau"" - Français: ""drapeau""
Français: ""feuille"" - Français: ""feuille""
Français: ""montagne"" - Français: """,14132,montagne,14378,mountain,14132,montagne
"Français: ""tasse"" - Français: ""tasse""
Français: ""chaise"" - Français: ""chaise""
Français: ""calendrier"" - Français: ""calendrier""
Français: ""appareil photo"" - Français: ""appareil photo""
Français: ""voile"" - Français: """,1365,voile,14892,sail,1365,voile
"Français: ""porte"" - Français: ""porte""
Français: ""poisson"" - Français: ""poisson""
Français: ""ours"" - Français: ""ours""
Français: ""cor"" - Français: ""cor""
Français: ""nuage"" - Français: """,3433,nuage,9570,cloud,3433,nuage
"Français: ""chien"" - Français: ""chien""
Français: ""horloge"" - Français: ""horloge""
Français: ""oiseau"" - Français: ""oiseau""
Français: ""boîte"" - Français: ""boîte""
Français: ""tige"" - Français: """,29873,tige,20805,stem,29873,tige
"Français: ""queue"" - Français: ""queue""
Français: ""cor"" - Français: ""cor""
Français: ""poisson"" - Français: ""poisson""
Français: ""stylo"" - Français: ""stylo""
Français: ""gilet"" - Français: """,29887,gilet,16779,vest,29887,gilet
"Français: ""miroir"" - Français: ""miroir""
Français: ""bocal"" - Français: ""bocal""
Français: ""cor"" - Français: ""cor""
Français: ""sel"" - Français: ""sel""
Français: ""serrure"" - Français: """,643,serrure,7714,lock,643,serrure
"Français: ""sable"" - Français: ""sable""
Français: ""tige"" - Français: ""tige""
Français: ""casquette"" - Français: ""casquette""
Français: ""voile"" - Français: ""voile""
Français: ""pomme"" - Français: """,29533,pomme,26163,apple,29533,pomme
"Français: ""gilet"" - Français: ""gilet""
Français: ""calendrier"" - Français: ""calendrier""
Français: ""miroir"" - Français: ""miroir""
Français: ""lune"" - Français: ""lune""
Français: ""sel"" - Français: """,2838,sel,15795,salt,2838,sel
"Français: ""boîte"" - Français: ""boîte""
Français: ""toupie"" - Français: ""toupie""
Français: ""souris"" - Français: ""souris""
Français: ""toile"" - Français: ""toile""
Français: ""menthe"" - Français: """,358,menthe,20559,mint,358,menthe
"Français: ""tarte"" - Français: ""tarte""
Français: ""baignoire"" - Français: ""baignoire""
Français: ""toupie"" - Français: ""toupie""
Français: ""masque"" - Français: ""masque""
Français: ""nuage"" - Français: """,3433,nuage,9570,cloud,3433,nuage
"Français: ""serrure"" - Français: ""serrure""
Français: ""feuille"" - Français: ""feuille""
Français: ""bateau"" - Français: ""bateau""
Français: ""sable"" - Français: ""sable""
Français: ""lait"" - Français: """,27275,lait,27274,milk,27275,lait
"Français: ""poisson"" - Français: ""poisson""
Français: ""horloge"" - Français: ""horloge""
Français: ""journal"" - Français: ""journal""
Français: ""lait"" - Français: ""lait""
Français: ""souris"" - Français: """,29879,souris,9495,mouse,29879,souris
"Français: ""montre"" - Français: ""montre""
Français: ""sel"" - Français: ""sel""
Français: ""poupée"" - Français: ""poupée""
Français: ""œuf"" - Français: ""œuf""
Français: ""nuage"" - Français: """,3433,nuage,9570,cloud,3433,nuage
"Français: ""outil"" - Français: ""outil""
Français: ""bouton"" - Français: ""bouton""
Français: ""carte"" - Français: ""carte""
Français: ""voiture"" - Français: ""voiture""
Français: ""montagne"" - Français: """,14132,montagne,14378,mountain,14132,montagne
"Français: ""masque"" - Français: ""masque""
Français: ""tuyau"" - Français: ""tuyau""
Français: ""fleur"" - Français: ""fleur""
Français: ""poisson"" - Français: ""poisson""
Français: ""sel"" - Français: """,2838,sel,15795,salt,2838,sel
"Français: ""disque"" - Français: ""disque""
Français: ""casquette"" - Français: ""casquette""
Français: ""soleil"" - Français: ""soleil""
Français: ""baignoire"" - Français: ""baignoire""
Français: ""colombe"" - Français: """,1054,colombe,10897,dove,1054,colombe
"Français: ""tige"" - Français: ""tige""
Français: ""montagne"" - Français: ""montagne""
Français: ""noix"" - Français: ""noix""
Français: ""baignoire"" - Français: ""baignoire""
Français: ""chaise"" - Français: """,5815,chaise,11774,chair,5815,chaise
"Français: ""fleur"" - Français: ""fleur""
Français: ""montagne"" - Français: ""montagne""
Français: ""tarte"" - Français: ""tarte""
Français: ""disque"" - Français: ""disque""
Français: ""poisson"" - Français: """,1129,poisson,9427,fish,1129,poisson
"Français: ""toile"" - Français: ""toile""
Français: ""poisson"" - Français: ""poisson""
Français: ""soleil"" - Français: ""soleil""
Français: ""montre"" - Français: ""montre""
Français: ""tarte"" - Français: """,29873,tarte,5036,pie,29873,tarte
"Français: ""tige"" - Français: ""tige""
Français: ""arbre"" - Français: ""arbre""
Français: ""poupée"" - Français: ""poupée""
Français: ""bocal"" - Français: ""bocal""
Français: ""masque"" - Français: """,8247,masque,11105,mask,8247,masque
"Français: ""ventilateur"" - Français: ""ventilateur""
Français: ""batterie"" - Français: ""batterie""
Français: ""montagne"" - Français: ""montagne""
Français: ""chat"" - Français: ""chat""
Français: ""pomme"" - Français: """,29533,pomme,26163,apple,29533,pomme
"Français: ""clé"" - Français: ""clé""
Français: ""toupie"" - Français: ""toupie""
Français: ""assiette"" - Français: ""assiette""
Français: ""savon"" - Français: ""savon""
Français: ""chaise"" - Français: """,5815,chaise,11774,chair,5815,chaise
"Français: ""montre"" - Français: ""montre""
Français: ""voile"" - Français: ""voile""
Français: ""poisson"" - Français: ""poisson""
Français: ""souris"" - Français: ""souris""
Français: ""planète"" - Français: """,9018,planète,15754,planet,9018,planète
"Français: ""lait"" - Français: ""lait""
Français: ""batterie"" - Français: ""batterie""
Français: ""bateau"" - Français: ""bateau""
Français: ""planète"" - Français: ""planète""
Français: ""boîte"" - Français: """,833,boîte,3800,box,833,boîte
"Français: ""boîte"" - Français: ""boîte""
Français: ""tapis"" - Français: ""tapis""
Français: ""feuille"" - Français: ""feuille""
Français: ""étoile"" - Français: ""étoile""
Français: ""arbre"" - Français: """,279,arbre,5447,tree,279,arbre
"Français: ""drapeau"" - Français: ""drapeau""
Français: ""casquette"" - Français: ""casquette""
Français: ""ventilateur"" - Français: ""ventilateur""
Français: ""cloche"" - Français: ""cloche""
Français: ""étiquette"" - Français: """,1893,étiquette,4055,tag,1893,étiquette
"Français: ""boîte"" - Français: ""boîte""
Français: ""assiette"" - Français: ""assiette""
Français: ""nuage"" - Français: ""nuage""
Français: ""disque"" - Français: ""disque""
Français: ""cloche"" - Français: """,15126,cloche,22623,bell,15126,cloche
"Français: ""gilet"" - Français: ""gilet""
Français: ""tapis"" - Français: ""tapis""
Français: ""boîte"" - Français: ""boîte""
Français: ""couronne"" - Français: ""couronne""
Français: ""toile"" - Français: """,517,toile,1856,web,517,toile
"Français: ""feuille"" - Français: ""feuille""
Français: ""bateau"" - Français: ""bateau""
Français: ""boîte"" - Français: ""boîte""
Français: ""nuage"" - Français: ""nuage""
Français: ""queue"" - Français: """,9990,queue,12464,tail,9990,queue
"Français: ""toile"" - Français: ""toile""
Français: ""étoile"" - Français: ""étoile""
Français: ""gilet"" - Français: ""gilet""
Français: ""stylo"" - Français: ""stylo""
Français: ""colombe"" - Français: """,1054,colombe,10897,dove,1054,colombe
"Français: ""tapis"" - Français: ""tapis""
Français: ""étoile"" - Français: ""étoile""
Français: ""colombe"" - Français: ""colombe""
Français: ""tarte"" - Français: ""tarte""
Français: ""poisson"" - Français: """,1129,poisson,9427,fish,1129,poisson
"Français: ""clé"" - Français: ""clé""
Français: ""queue"" - Français: ""queue""
Français: ""bateau"" - Français: ""bateau""
Français: ""boîte"" - Français: ""boîte""
Français: ""porte"" - Français: """,13732,porte,3050,door,13732,porte
"Français: ""outil"" - Français: ""outil""
Français: ""chapeau"" - Français: ""chapeau""
Français: ""bocal"" - Français: ""bocal""
Français: ""ours"" - Français: ""ours""
Français: ""lait"" - Français: """,27275,lait,27274,milk,27275,lait
"Français: ""clé"" - Français: ""clé""
Français: ""bocal"" - Français: ""bocal""
Français: ""queue"" - Français: ""queue""
Français: ""chapeau"" - Français: ""chapeau""
Français: ""souris"" - Français: """,29879,souris,9495,mouse,29879,souris
"Français: ""bouton"" - Français: ""bouton""
Français: ""appareil photo"" - Français: ""appareil photo""
Français: ""miroir"" - Français: ""miroir""
Français: ""cloche"" - Français: ""cloche""
Français: ""stylo"" - Français: """,22062,stylo,6584,pen,22062,stylo
"Français: ""soleil"" - Français: ""soleil""
Français: ""disque"" - Français: ""disque""
Français: ""poupée"" - Français: ""poupée""
Français: ""chien"" - Français: ""chien""
Français: ""gilet"" - Français: """,29887,gilet,16779,vest,29887,gilet
"Français: ""calendrier"" - Français: ""calendrier""
Français: ""ours"" - Français: ""ours""
Français: ""poupée"" - Français: ""poupée""
Français: ""tarte"" - Français: ""tarte""
Français: ""montre"" - Français: """,14132,montre,6505,watch,14132,montre
"Français: ""chat"" - Français: ""chat""
Français: ""assiette"" - Français: ""assiette""
Français: ""chapeau"" - Français: ""chapeau""
Français: ""nuage"" - Français: ""nuage""
Français: ""toile"" - Français: """,517,toile,1856,web,517,toile
"Français: ""lune"" - Français: ""lune""
Français: ""batterie"" - Français: ""batterie""
Français: ""étoile"" - Français: ""étoile""
Français: ""cor"" - Français: ""cor""
Français: ""livre"" - Français: """,17843,livre,3143,book,17843,livre
"Français: ""tuyau"" - Français: ""tuyau""
Français: ""bague"" - Français: ""bague""
Français: ""chien"" - Français: ""chien""
Français: ""drapeau"" - Français: ""drapeau""
Français: ""lait"" - Français: """,27275,lait,27274,milk,27275,lait
"Français: ""bague"" - Français: ""bague""
Français: ""œuf"" - Français: ""œuf""
Français: ""marmite"" - Français: ""marmite""
Français: ""chapeau"" - Français: ""chapeau""
Français: ""queue"" - Français: """,9990,queue,12464,tail,9990,queue
"Français: ""disque"" - Français: ""disque""
Français: ""miroir"" - Français: ""miroir""
Français: ""queue"" - Français: ""queue""
Français: ""stylo"" - Français: ""stylo""
Français: ""calendrier"" - Français: """,1052,calendrier,17684,calendar,1052,calendrier
"Français: ""tarte"" - Français: ""tarte""
Français: ""chapeau"" - Français: ""chapeau""
Français: ""carte"" - Français: ""carte""
Français: ""tige"" - Français: ""tige""
Français: ""toupie"" - Français: """,29873,toupie,2246,top,29873,toupie
