lang,word_original,word_translation,blank_prompt_original,blank_prompt_translation,blank_prompt_translation_masked,error
en,book,book,"A ""book"" is used to read stories. Answer: ""book"".","A ""book"" is used to read stories. Answer: ""book"".","A ""___"" is used to read stories. Answer: ""book"".",no error
en,cloud,cloud,"A ""cloud"" is a visible mass of condensed water vapor floating in the atmosphere. Answer: ""cloud"".","A ""cloud"" is a visible mass of condensed water vapor floating in the atmosphere. Answer: ""cloud"".","A ""___"" is a visible mass of condensed water vapor floating in the atmosphere. Answer: ""cloud"".",no error
en,bag,bag,"A ""bag"" is used to carry items. Answer: ""bag"".","A ""bag"" is used to carry items. Answer: ""bag"".","A ""___"" is used to carry items. Answer: ""bag"".",no error
en,mouth,mouth,"A ""mouth"" is used to eat food and speak. Answer: ""mouth"".","A ""mouth"" is used to eat food and speak. Answer: ""mouth"".","A ""___"" is used to eat food and speak. Answer: ""mouth"".",no error
en,soil,soil,"""A ""soil"" is used for planting trees and crops. Answer: ""soil"".""","""A ""soil"" is used for planting trees and crops. Answer: ""soil"".""","""A ""___"" is used for planting trees and crops. Answer: ""soil"".",no error
en,mountain,mountain,"A ""mountain"" is a large natural elevation of the earth's surface. Answer: ""mountain"".","A ""mountain"" is a large natural elevation of the earth's surface. Answer: ""mountain"".","A ""___"" is a large natural elevation of the earth's surface. Answer: ""mountain"".",no error
en,cloth,cloth,"A ""cloth"" is used to clean surfaces or cover bodies. Answer: ""cloth"".","A ""cloth"" is used to clean surfaces or cover bodies. Answer: ""cloth"".","A ""___"" is used to clean surfaces or cover bodies. Answer: ""cloth"".",no error
en,heart,heart,"A ""heart"" is an organ that pumps blood throughout the body. Answer: ""heart"".","A ""heart"" is an organ that pumps blood throughout the body. Answer: ""heart"".","A ""___"" is an organ that pumps blood throughout the body. Answer: ""heart"".",no error
en,hand,hand,"A ""hand"" is used to grasp or hold objects. Answer: ""hand"".","A ""hand"" is used to grasp or hold objects. Answer: ""hand"".","A ""___"" is used to grasp or hold objects. Answer: ""hand"".",no error
en,day,day,"A ""day"" is a period of 24 hours, often understood as the time it takes for the Earth to complete one rotation. Answer: ""day"".","A ""day"" is a period of 24 hours, often understood as the time it takes for the Earth to complete one rotation. Answer: ""day"".","A ""___"" is a period of 24 hours, often understood as the time it takes for the Earth to complete one rotation. Answer: ""day"".",no error
en,star,star,"A ""star"" is a celestial body that shines in the night sky. Answer: ""star"".","A ""star"" is a celestial body that shines in the night sky. Answer: ""star"".","A ""___"" is a celestial body that shines in the night sky. Answer: ""star"".",no error
en,spring,spring,"A ""spring"" is a device that stores mechanical energy and can be compressed or stretched. Answer: ""spring"".","A ""spring"" is a device that stores mechanical energy and can be compressed or stretched. Answer: ""spring"".","A ""___"" is a device that stores mechanical energy and can be compressed or stretched. Answer: ""spring"".",no error
en,moon,moon,"A ""moon"" is a natural satellite that orbits around a planet. Answer: ""moon"".","A ""moon"" is a natural satellite that orbits around a planet. Answer: ""moon"".","A ""___"" is a natural satellite that orbits around a planet. Answer: ""moon"".",no error
en,wood,wood,"A ""wood"" is used to make furniture. Answer: ""wood"".","A ""wood"" is used to make furniture. Answer: ""wood"".","A ""___"" is used to make furniture. Answer: ""wood"".",no error
en,village,village,"A ""village"" is a small community or group of houses in a rural area. Answer: ""village"".","A ""village"" is a small community or group of houses in a rural area. Answer: ""village"".","A ""___"" is a small community or group of houses in a rural area. Answer: ""village"".",no error
en,forest,forest,"A ""forest"" is a large area covered chiefly with trees and undergrowth. Answer: ""forest"".","A ""forest"" is a large area covered chiefly with trees and undergrowth. Answer: ""forest"".","A ""___"" is a large area covered chiefly with trees and undergrowth. Answer: ""forest"".",no error
en,fruit,fruit,"'A ""fruit"" is a type of food that is often sweet and comes from a plant. Answer: ""fruit"".'","'A ""fruit"" is a type of food that is often sweet and comes from a plant. Answer: ""fruit"".'","'A ""___"" is a type of food that is often sweet and comes from a plant. Answer: ""fruit"".",no error
en,grid,grid,"A ""grid"" is a network of lines that cross each other to form a series of squares or rectangles. Answer: ""grid"".","A ""grid"" is a network of lines that cross each other to form a series of squares or rectangles. Answer: ""grid"".","A ""___"" is a network of lines that cross each other to form a series of squares or rectangles. Answer: ""grid"".",no error
en,song,song,"A ""song"" is a piece of music with words that is sung. Answer: ""song"".","A ""song"" is a piece of music with words that is sung. Answer: ""song"".","A ""___"" is a piece of music with words that is sung. Answer: ""song"".",no error
en,water,water,"""A ""water"" is essential for life and is used for drinking and cleaning. Answer: ""water"".""","""A ""water"" is essential for life and is used for drinking and cleaning. Answer: ""water"".""","""A ""___"" is essential for life and is used for drinking and cleaning. Answer: ""water"".",no error
en,pond,pond,"A ""pond"" is a small body of still water. Answer: ""pond"".","A ""pond"" is a small body of still water. Answer: ""pond"".","A ""___"" is a small body of still water. Answer: ""pond"".",no error
en,sand,sand,"""A ""sand"" is used to build castles at the beach. Answer: ""sand"".""","""A ""sand"" is used to build castles at the beach. Answer: ""sand"".""","""A ""___"" is used to build castles at the beach. Answer: ""sand"".",no error
en,river,river,"A ""river"" is a large, flowing body of water that usually empties into a sea or ocean. Answer: ""river"".","A ""river"" is a large, flowing body of water that usually empties into a sea or ocean. Answer: ""river"".","A ""___"" is a large, flowing body of water that usually empties into a sea or ocean. Answer: ""river"".",no error
en,law,law,"'A ""law"" is a system of rules that a society or government develops in order to deal with crime, business agreements, and social relationships. Answer: ""law"".'","'A ""law"" is a system of rules that a society or government develops in order to deal with crime, business agreements, and social relationships. Answer: ""law"".'","'A ""___"" is a system of rules that a society or government develops in order to deal with crime, business agreements, and social relationships. Answer: ""law"".",no error
en,wave,wave,"A ""wave"" is a disturbance that transfers energy through matter or space. Answer: ""wave"".","A ""wave"" is a disturbance that transfers energy through matter or space. Answer: ""wave"".","A ""___"" is a disturbance that transfers energy through matter or space. Answer: ""wave"".",no error
en,ocean,ocean,"An ""ocean"" is a large body of salt water that covers most of the earth's surface. Answer: ""ocean"".","An ""ocean"" is a large body of salt water that covers most of the earth's surface. Answer: ""ocean"".","An ""___"" is a large body of salt water that covers most of the earth's surface. Answer: ""ocean"".",no error
en,cave,cave,"A ""cave"" is a natural underground space large enough for a human to enter. Answer: ""cave"".","A ""cave"" is a natural underground space large enough for a human to enter. Answer: ""cave"".","A ""___"" is a natural underground space large enough for a human to enter. Answer: ""cave"".",no error
en,sea,sea,"A ""sea"" is a large body of saltwater that is smaller than an ocean. Answer: ""sea"".","A ""sea"" is a large body of saltwater that is smaller than an ocean. Answer: ""sea"".","A ""___"" is a large body of saltwater that is smaller than an ocean. Answer: ""sea"".",no error
en,lake,lake,"A ""lake"" is a large body of water surrounded by land. Answer: ""lake"".","A ""lake"" is a large body of water surrounded by land. Answer: ""lake"".","A ""___"" is a large body of water surrounded by land. Answer: ""lake"".",no error
en,source,source,"A ""source"" is used to provide information or data. Answer: ""source"".","A ""source"" is used to provide information or data. Answer: ""source"".","A ""___"" is used to provide information or data. Answer: ""source"".",no error
en,fire,fire,"A ""fire"" is used for cooking and providing warmth. Answer: ""fire"".","A ""fire"" is used for cooking and providing warmth. Answer: ""fire"".","A ""___"" is used for cooking and providing warmth. Answer: ""fire"".",no error
en,point,point,"A ""point"" is a specific location in space. Answer: ""point"".","A ""point"" is a specific location in space. Answer: ""point"".","A ""___"" is a specific location in space. Answer: ""point"".",no error
en,version,version,"A ""version"" is used to denote different forms or stages in the development of something. Answer: ""version"".","A ""version"" is used to denote different forms or stages in the development of something. Answer: ""version"".","A ""___"" is used to denote different forms or stages in the development of something. Answer: ""version"".",no error
en,ball,ball,"A ""ball"" is used to play sports like soccer and basketball. Answer: ""ball"".","A ""ball"" is used to play sports like soccer and basketball. Answer: ""ball"".","A ""___"" is used to play sports like soccer and basketball. Answer: ""ball"".",no error
en,painting,painting,"A ""painting"" is a piece of art that can be hung on a wall. Answer: ""painting"".","A ""painting"" is a piece of art that can be hung on a wall. Answer: ""painting"".","A ""___"" is a piece of art that can be hung on a wall. Answer: ""painting"".",no error
